Origin	Family	Plant_line	Plant_Genotype	Treatment	Date	Name	Tube nb.	Mass (mg)	Auc (ng/mg)	Cat (ng/mg)	
E	EF1	L	L4	A	07/06/2016	EF1L4A	G46	0,42	NA	NA	
E	EF1	L	L6	A	07/06/2016	EF1L6A	G47	0,32	9,5	2,5	
E	EF1	L	L7	A	07/06/2016	EF1L7A	G48	0,26	17,8	4,4	
E	EF1	H	H2	A	10/06/2016	EF1H2A	G50	0,23	34,0	34,7	
E	EF1	H	H3	A	07/06/2016	EF1H3A	G49	0,22	38,9	36,2	
E	EF1	H	H9	A	10/06/2016	EF1H9A	G45	0,48	43,8	26,2	
E	EF1	L	L4	NoA	07/06/2016	EF1L4NoA	G56	0,28	17,0	4,8	
E	EF1	L	L6	NoA	07/06/2016	EF1L6NoA	NA	NA	NA	NA	
E	EF1	L	L7	NoA	10/06/2016	EF1L7NoA	G51	0,55	14,3	3,8	
E	EF1	H	H2	NoA	10/06/2016	EF1H2NoA	G53	0,51	13,1	3,0	
E	EF1	H	H3	NoA	07/06/2016	EF1H3NoA	NA	NA	NA	NA	
E	EF1	H	H9	NoA	07/06/2016	EF1H9NoA	G52	0,32	25,1	17,7	
E	EF2	L	L4	A	13/06/2016	EF2L4A	G54	0,41	13,6	3,8	
E	EF2	L	L6	A	08/06/2016	EF2L6A	G55	0,39	13,8	0,0	
E	EF2	L	L7	A	08/06/2016	EF2L7A	G69	0,5	11,1	1,5	
E	EF2	H	H2	A	08/06/2016	EF2H2A	G73	0,42	NA	NA	
E	EF2	H	H3	A	08/06/2016	EF2H3A	G77	0,3	30,3	12,7	
E	EF2	H	H9	A	08/06/2016	EF2H9A	G70	0,39	23,5	12,0	
E	EF2	L	L4	NoA	08/06/2016	EF2L4NoA	G74	0,49	30,7	3,9	
E	EF2	L	L6	NoA	08/06/2016	EF2L6NoA	NA	NA	NA	NA	
E	EF2	L	L7	NoA	08/06/2016	EF2L7NoA	G78	0,41	37,8	14,5	
E	EF2	H	H2	NoA	08/06/2016	EF2H2NoA	NA	NA	NA	NA	
E	EF2	H	H3	NoA	13/06/2016	EF2H3NoA	G75	0,53	34,6	22,9	
E	EF2	H	H9	NoA	08/06/2016	EF2H9NoA	G71	0,4	48,0	47,9	
E	EF3	L	L4	A	10/06/2016	EF3L4A	G72	0,38	39,6	12,3	
E	EF3	L	L6	A	10/06/2016	EF3L6A	G79	0,4	19,5	2,6	
E	EF3	L	L7	A	10/06/2016	EF3L7A	NA	NA	NA	NA	
E	EF3	H	H2	A	12/06/2016	EF3H2A	NA	NA	NA	NA	
E	EF3	H	H3	A	12/06/2016	EF3H3A	G76	0,48	52,0	47,6	
E	EF3	H	H9	A	10/06/2016	EF3H9A	G59	0,39	22,5	20,7	
E	EF3	L	L4	NoA	12/06/2016	EF3L4NoA	G68	0,42	30,8	4,3	
E	EF3	L	L6	NoA	10/06/2016	EF3L6NoA	NA	NA	NA	NA	
E	EF3	L	L7	NoA	12/06/2016	EF3L7NoA	G61	0,39	12,9	5,5	
E	EF3	H	H2	NoA	10/06/2016	EF3H2NoA	G66	0,48	15,6	12,8	
E	EF3	H	H3	NoA	10/06/2016	EF3H3NoA	G65	0,4	23,9	23,1	
E	EF3	H	H9	NoA	10/06/2016	EF3H9NoA	G67	0,3	26,9	24,2	
E	EF4	L	L4	A	13/06/2016	EF4L4A	G60	0,29	26,2	3,6	
E	EF4	L	L6	A	13/06/2016	EF4L6A	G57	0,37	15,1	4,4	
E	EF4	L	L7	A	10/06/2016	EF4L7A	G58	0,29	33,5	7,4	
E	EF4	H	H2	A	10/06/2016	EF4H2A	G63	0,34	39,7	47,7	
E	EF4	H	H3	A	10/06/2016	EF4H3A	G62	0,46	33,1	54,7	
E	EF4	H	H9	A	13/06/2016	EF4H9A	G64	0,37	39,2	23,7	
E	EF4	L	L4	NoA	10/06/2016	EF4L4NoA	G18	0,23	39,5	15,6	
E	EF4	L	L6	NoA	10/06/2016	EF4L6NoA	G16	0,27	15,4	9,3	
E	EF4	L	L7	NoA	13/06/2016	EF4L7NoA	G17	0,32	25,4	12,4	
E	EF4	H	H2	NoA	10/06/2016	EF4H2NoA	NA	NA	NA	NA	
E	EF4	H	H3	NoA	13/06/2016	EF4H3NoA	G15	0,29	71,7	46,8	
E	EF4	H	H9	NoA	13/06/2016	EF4H9NoA	G14	0,41	150,9	69,4	
S	SF1	L	L4	A	09/06/2016	SF1L4A	G13	0,27	18,0	6,4	
S	SF1	L	L6	A	07/06/2016	SF1L6A	G12	0,44	11,8	3,5	
S	SF1	L	L7	A	20/06/2016	SF1L7A	G11	0,38	24,2	7,2	
S	SF1	H	H2	A	09/06/2016	SF1H2A	G2	0,29	31,9	22,6	
S	SF1	H	H3	A	09/06/2016	SF1H3A	G10	0,38	19,1	19,3	
S	SF1	H	H9	A	07/06/2016	SF1H9A	G9	0,36	23,8	29,8	
S	SF1	L	L4	NoA	09/06/2016	SF1L4NoA	G8	0,32	27,7	12,7	
S	SF1	L	L6	NoA	07/06/2016	SF1L6NoA	G1	0,64	5,1	1,8	
S	SF1	L	L7	NoA	07/06/2016	SF1L7NoA	G32	0,28	259,7	48,6	
S	SF1	H	H2	NoA	07/06/2016	SF1H2NoA	G36	0,39	27,3	29,3	
S	SF1	H	H3	NoA	09/06/2016	SF1H3NoA	G44	0,31	44,6	17,1	
S	SF1	H	H9	NoA	09/06/2016	SF1H9NoA	G34	0,41	16,9	28,7	
S	SF2	L	L4	A	14/06/2016	SF2L4A	G38	0,45	NA	NA	
S	SF2	L	L6	A	14/06/2016	SF2L6A	G37	0,36	12,1	8,2	
S	SF2	L	L7	A	14/06/2016	SF2L7A	G35	0,38	12,1	6,6	
S	SF2	H	H2	A	14/06/2016	SF2H2A	G40	0,21	27,8	20,7	
S	SF2	H	H3	A	14/06/2016	SF2H3A	G43	0,3	34,5	84,0	
S	SF2	H	H9	A	14/06/2016	SF2H9A	G42	0,75	12,0	14,1	
S	SF2	L	L4	NoA	14/06/2016	SF2L4NoA	G41	0,41	21,9	13,7	
S	SF2	L	L6	NoA	14/06/2016	SF2L6NoA	G39	0,25	17,3	11,3	
S	SF2	L	L7	NoA	14/06/2016	SF2L7NoA	G33	0,31	14,3	10,0	
S	SF2	H	H2	NoA	14/06/2016	SF2H2NoA	G28	0,66	10,8	9,5	
S	SF2	H	H3	NoA	14/06/2016	SF2H3NoA	NA	NA	NA	NA	
S	SF2	H	H9	NoA	14/06/2016	SF2H9NoA	G23	0,28	239,6	97,0	
S	SF3	L	L6	A	21/06/2016	SF3L6A	G19	0,23	19,3	9,5	
S	SF3	L	L7	A	12/06/2016	SF3L7A	G29	0,22	21,2	9,4	
S	SF3	H	H2	A	09/06/2016	SF3H2A	G24	0,17	59,4	47,3	
S	SF3	H	H3	A	09/06/2016	SF3H3A	G20	0,11	30,1	40,1	
