Sample_ID	Sample_NMR_ID	Origin	Family#	Family	Plant_genotype	Plant_line	Treatment	Dry Mass	Name	Plant_sample	Category	a-Glucose 	b-Glucose	Alanine	Glutamate	Glutamine	Valine	Formic acid 	GABA	Choline	Adenine	Arginine	Lysine	Acetic acid	Fumaric acid	Ethanol & Ethyl - b - glucoside	Catalpol	Aucubin	Verbascoside	a-Glucose 	b-Glucose	Alanine	Glutamate	Glutamine	Valine	Formic acid 	GABA	Choline	Adenine	Arginine	Lysine	Acetic acid	Fumaric acid	Ethanol & Ethyl - b - glucoside	Catalpol	Aucubin	Verbascoside
7	144	E	F1	EF1	L4	L	A	0,4	EF1L4A	NA	Larvae	0,001932007	0,002923893	0,008764062	0,016127905	0,001325581	0,001641173	0,000125361	0,004011779	0,019172021	1,08085E-05	0,000448115	0,000296994	0,002043348	7,03074E-05	0,001885314	-0,000322845	-5,93301E-05	7,11599E-05	0,002634367	0,003785722	0,000483821	0,001174254	8,24519E-05	4,6878E-06	1,59931E-05	0	0,001030618	1,87258E-06	0,000128408	0,00049988	0,000202875	0,001257259	0,000188853	0,002473921	0,000507819	0,003139919
8	145	E	F1	EF1	L6	L	A	0,2	EF1L6A	NA	Larvae	0,002188043	0,003262395	0,010826132	0,024964175	0,002403113	0,002176407	0,000186424	0,004861131	0,03367116	4,74018E-05	0,001299755	0,002094977	0,002847104	2,66121E-05	0,003281395	-0,000461403	-0,000101185	-0,000139431	0,002619375	0,004033408	0,000668699	0,001209476	6,32708E-05	6,86812E-05	3,09514E-05	0	0,000720719	7,92971E-07	5,57798E-05	0,000202136	0,000199633	0,002804899	0,000117236	0,001309102	0,000266959	0,000871333
9	146	E	F1	EF1	L7	L	A	0,5	EF1L7A	NA	Larvae	0,000859601	0,001296117	0,001817611	0,00670718	0,001012599	5,07426E-05	0,000100792	0,001656406	0,010829875	1,95584E-05	0,000400065	0,000465996	0,00073998	2,52007E-05	0,001927476	-3,08553E-05	-1,74518E-05	-3,72977E-05	0,004914928	0,007809747	0,000368138	0,000763794	1,20469E-06	8,29836E-05	5,26963E-05	0	0,000710416	-5,6629E-07	2,62396E-05	6,22608E-05	0,000515409	0,001008841	9,25412E-06	0,001420067	0,000278019	0,001668105
10	147	S	F5	SF5	H3	H	A	0,8	SF5H3A	NA	Larvae	0,002689679	0,004160613	0,004839446	0,005468762	0,000752496	0,001533126	8,84667E-05	0,002653713	0,00869881	-1,48293E-05	0,000350081	0,000663987	0,001410061	2,24342E-05	0,001750496	1,62599E-05	2,69513E-05	-4,46625E-05	0,004654257	0,007290774	0,000539326	0,001230383	4,10546E-05	3,17097E-05	3,74702E-05	0	0,000671497	2,27066E-06	8,65909E-05	0,000308319	0,000188911	0,001206107	-4,13669E-05	0,00307327	0,002111048	0,000851095
11	148	E	F1	EF1	H2	H	A	0,6	EF1H2A	NA	Larvae	0,00171862	0,002683212	0,002621727	0,005550045	0,000979089	0,000322809	9,73302E-05	0,00160082	0,008756176	2,0271E-05	0,00033904	0,000334487	0,000739258	1,02488E-06	0,001859424	-0,000147157	3,01771E-05	-9,46558E-06	0,004654257	0,007290774	0,000539326	0,001230383	4,10546E-05	3,17097E-05	3,74702E-05	0	0,000671497	2,27066E-06	8,65909E-05	0,000308319	0,000188911	0,001206107	-4,13669E-05	0,00307327	0,002111048	0,000851095
12	149	S	F5	SF5	L7	L	A	1	SF5L7A	NA	Larvae	0,000880217	0,0013437	0,002284969	0,004037414	0,000618425	0,000708479	4,79737E-05	0,001511875	0,005701395	1,21996E-05	0,000295232	0,000347367	0,000668594	-1,42707E-05	0,000879	-0,000116448	1,31911E-06	-1,00767E-05	0,004914928	0,007809747	0,000368138	0,000763794	1,20469E-06	8,29836E-05	5,26963E-05	0	0,000710416	-5,6629E-07	2,62396E-05	6,22608E-05	0,000515409	0,001008841	9,25412E-06	0,001420067	0,000278019	0,001668105
13	150	E	F3	EF3	H2	H	NoA	0,9	EF3H2NA	NA	Larvae	0,002836795	0,004258248	0,00462808	0,005653426	0,000616006	0,001985234	0,000102235	0,003493703	0,008454202	1,09857E-05	0,000396854	0,000931909	0,001496563	5,71169E-05	0,00090049	-5,15682E-05	-9,7513E-06	-3,38236E-05	0,004654257	0,007290774	0,000539326	0,001230383	4,10546E-05	3,17097E-05	3,74702E-05	0	0,000671497	2,27066E-06	8,65909E-05	0,000308319	0,000188911	0,001206107	-4,13669E-05	0,00307327	0,002111048	0,000851095
14	151	E	F4	EF4	L6	L	A	0,7	EF4L6A	NA	Larvae	0,001873435	0,002887161	0,009487801	0,008129486	0,000845865	0,001501103	7,66526E-05	0,006901944	0,011639843	-7,7115E-06	0,00035752	0,000720476	0,002677398	6,62005E-05	0,002078797	0,000160186	-1,36528E-05	-1,65944E-05	0,002619375	0,004033408	0,000668699	0,001209476	6,32708E-05	6,86812E-05	3,09514E-05	0	0,000720719	7,92971E-07	5,57798E-05	0,000202136	0,000199633	0,002804899	0,000117236	0,001309102	0,000266959	0,000871333
15	152	S	F4	SF4	H3	H	A	0,4	SF4H3NA	NA	Larvae	0,00219022	0,003430887	0,004172657	0,007826726	0,001579815	0,000695817	0,000125793	0,002362342	0,012191863	2,61713E-05	0,000322852	0,000282936	0,001273921	2,94216E-05	0,001986246	-0,000281732	3,79682E-05	-5,41488E-05	0,004654257	0,007290774	0,000539326	0,001230383	4,10546E-05	3,17097E-05	3,74702E-05	0	0,000671497	2,27066E-06	8,65909E-05	0,000308319	0,000188911	0,001206107	-4,13669E-05	0,00307327	0,002111048	0,000851095
16	153	E	F4	EF4	L4	L	NoA	0,9	EF4L4NA	NA	Larvae	0,001041173	0,001696741	0,006195196	0,008311855	0,000650528	0,001469418	3,75531E-05	0,003450578	0,010122697	1,45758E-05	0,000339692	0,000492315	0,001485467	4,07433E-05	0,001567387	-0,000271259	1,46105E-05	-4,1844E-05	0,002634367	0,003785722	0,000483821	0,001174254	8,24519E-05	4,6878E-06	1,59931E-05	0	0,001030618	1,87258E-06	0,000128408	0,00049988	0,000202875	0,001257259	0,000188853	0,002473921	0,000507819	0,003139919
