Sample_ref	Plant_genotype	Plant_line	Time	Tube	b-Glucose	a-Glucose	Sucrose	Alanine	Glutamate	Glutamine	Threonine	Valine	Arginine	Lysine	Formic acid	Acetic acid	Fumaric acid	Adenine	Choline	Ethanol & Ethyl - b - glucoside	Verbascoside	Aucubin	Catalpol
Plantago_Juhis_490-551.511.fid	H2	H	1	511	0,044747286	0,034438028	0,023738978	0,008486678	0,030153631	0,001267629	0,021402848	0,0007581	0,005814679	0,007827137	0,000377816	0,000322938	0,008310745	-4,71862E-05	0,017372301	0,002545212	0,047510032	0,06860844	0,049492783
Plantago_Juhis_490-551.512.fid	H2	H	4	512	0,030717804	0,026203002	0,038693727	0,012315886	0,025683062	0,003962818	0,017160621	0,001526171	0,009215102	0,012711136	0,000168814	0,001934833	0,002872345	2,53627E-05	0,018523602	0,004094812	0,037536673	0,093125995	0,045249892
Plantago_Juhis_490-551.513.fid	H2	H	6	513	0,020542986	0,021696779	0,027176939	0,010516158	0,037558617	0,008726714	0,014987681	0,001016281	0,010564475	0,015302769	0,000179968	0,000768242	0,000177999	0,00010516	0,017829699	0,006613627	0,042530557	0,107940842	0,073312665
Plantago_Juhis_490-551.514.fid	H2	H	9	514	0,029284479	0,023085245	0,021388576	0,007984263	0,015597799	0,001211487	0,011431727	-0,000264397	0,010944583	0,013067546	0,000174044	0,002498408	0,0009589	3,07202E-05	0,020253073	0,004851024	0,052039474	0,109227677	0,079121618
Plantago_Juhis_490-551.515.fid	H2	H	12	515	0,018111541	0,017421159	0,022093672	0,017235716	0,030272516	0,004119022	0,013839742	0,000837345	0,013714024	0,015979224	0,000122053	0,004495867	0,004338357	5,62781E-05	0,021767012	0,005638386	0,057945249	0,088263092	0,084620366
Plantago_Juhis_490-551.516.fid	H2	H	15	516	0,072238601	0,046017745	0,017945781	0,00688584	0,030478992	0,001445625	0,009213011	0,001081821	0,013733707	0,017692516	0,000709192	0,003904507	0,009612506	8,40167E-05	0,020033575	0,003461101	0,034265696	0,031716184	0,039393786
Plantago_Juhis_490-551.517.fid	H2	H	18	517	0,054026935	0,035984599	0,022730481	0,008548223	0,026327152	0,000573027	0,007383611	0,00059117	0,012244207	0,014284195	0,000535094	0,004622943	0,002994862	0,000119829	0,020868538	0,003052716	0,032813495	0,044164992	0,061104044
Plantago_Juhis_490-551.518.fid	H2	H	21	518	0,095310395	0,05743947	0,01737828	0,004897873	0,02904923	0,001074657	0,006505779	-0,000466283	0,009185709	0,013251886	0,001018538	0,002078172	0,005299046	7,36592E-05	0,020327133	-0,00115269	0,03156253	0,024405743	0,045191765
Plantago_Juhis_490-551.519.fid	H2	H	24	519	0,072414249	0,049487788	0,016310958	0,004946644	0,029607547	0,001889727	0,00417441	-0,000908949	0,00796965	0,011570993	0,000915431	0,001672664	0,003111706	9,4149E-05	0,017149832	-0,002412587	0,03275322	0,035183325	0,048797813
Plantago_Juhis_490-551.520.fid	H2	H	27	520	0,076467387	0,052727343	0,014772745	0,003875103	0,024875648	0,001285456	0,005511608	-0,000638649	0,010920964	0,014869923	0,001076739	0,002148184	0,0003855	5,08074E-05	0,01799983	-0,00109939	0,03594934	0,047275484	0,091492159
Plantago_Juhis_490-551.500.fid	H3	H	1	500	0,032774165	0,029224359	0,016499843	0,007617679	0,030372612	0,002481469	0,017338706	-0,000409823	0,00724909	0,00815489	0,00036263	0,003273017	0,011371255	0,000119199	0,020200321	0,001016155	0,055314408	0,005498106	0,094513831
Plantago_Juhis_490-551.501.fid	H3	H	4	501	0,044073091	0,036849005	0,03885764	0,0111018	0,019792317	0,002475897	0,013244627	0,003558991	0,018283813	0,023048219	0,000322857	0,005351776	0,000446075	-3,6696E-05	0,021530709	0,005181999	0,055125187	0,100642092	0,110426091
Plantago_Juhis_490-551.502.fid	H3	H	6	502	0,016939304	0,016370459	0,02537784	0,008871545	0,011951882	0,000739568	0,007862661	0,000785101	0,014315821	0,018061281	0,000122972	0,003032384	-6,5134E-05	-9,25045E-06	0,021145271	0,003295201	0,040270432	0,081932585	0,118749009
Plantago_Juhis_490-551.503.fid	H3	H	9	503	0,023338887	0,019431471	0,023817228	0,008883182	0,014585066	0,000277591	0,009419423	-0,000992633	0,011456916	0,014345827	8,4173E-05	0,002261449	0,00136595	2,29451E-05	0,02072715	0,005581761	0,051803418	0,084892463	0,114959519
